지점,지점명,일시,평균기온(°C)
98,동두천,2021-01,-4.2
98,동두천,2021-02,1.3
98,동두천,2021-03,7.7
98,동두천,2021-04,13
98,동두천,2021-05,15.8
98,동두천,2021-06,21.3
98,동두천,2021-07,26.4
98,동두천,2021-08,24.3
98,동두천,2021-09,20.8
98,동두천,2021-10,13.7
98,동두천,2021-11,6.4
98,동두천,2021-12,-1.1
98,동두천,2022-01,-3.9
98,동두천,2022-02,-2.6
98,동두천,2022-03,6.4
98,동두천,2022-04,13.6
98,동두천,2022-05,17.4
98,동두천,2022-06,21.5
98,동두천,2022-07,25.8
98,동두천,2022-08,24.2
98,동두천,2022-09,20
98,동두천,2022-10,12.3
98,동두천,2022-11,8
98,동두천,2022-12,-4.9
99,파주,2021-01,-5.1
99,파주,2021-02,.5
99,파주,2021-03,6.7
99,파주,2021-04,12.2
99,파주,2021-05,15.5
99,파주,2021-06,21.1
99,파주,2021-07,26.1
